,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Ph1-Ph6,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
309,2.958817623164762,2.4191335828153133,3.1587261307419663,3.5704437829899494,,3.1587261307419663,3.5704437829899494,-0.21741408922721042,-0.41171765224798307,0.5719192574513
310,2.958460346117669,2.0922728529600403,3.455285349267025,2.043894771075138,,3.455285349267025,2.043894771075138,0.7453073615523083,1.4113905781918872,0.6414988321709714
311,2.366187223150329,2.270116579680833,2.298811700800127,3.2289520742648503,,2.366187223150329,3.2289520742648503,-0.45559677438686347,-0.8627648511145214,0.38597150504865657
312,2.486557503922917,2.7159866665089414,2.616652815967345,1.8911546478998693,,2.616652815967345,1.8911546478998693,0.38311090764550176,0.7254981680674757,0.44473646105573406
313,2.154067887734244,2.251593010686075,3.235829795675031,2.7613341517879215,,3.235829795675031,2.7613341517879215,0.25056501147018784,0.4744956438871095,0.5900095405389504
314,2.5855985093506892,2.417980939122268,2.492063143068849,2.6390284062077263,,2.5855985093506892,2.6390284062077263,-0.028214511326514067,-0.05342989685703703,0.43745041053824324
315,3.2379687373956525,1.9617358302238896,2.9003729863793484,2.7917709231592944,,3.2379687373956525,2.7917709231592944,0.235621890068827,0.44619781423635807,0.5905113851823616
316,1.5280436105755744,1.0143840451978154,1.2560480832619167,1.8882510762411973,,1.5280436105755744,1.8882510762411973,-0.19021331160550625,-0.3602074656656229,0.1893238459166823
317,3.4582537389352157,1.5012712589776656,1.9474981379632665,2.3466915872473013,,3.4582537389352157,2.3466915872473013,0.5869781669771729,1.1115621516879144,0.6421952842716419
318,3.269410207388138,2.6351797506478007,3.053997573652021,3.250029026346869,,3.269410207388138,3.250029026346869,0.010234542534739623,0.019381181041268736,0.5978882730819147
413,2.6466687322368347,3.56555078861437,2.9815962288529336,3.261755444996586,3.7235695792304506,2.9815962288529336,3.261755444996586,-0.14794255355316696,-0.2801592161436526,0.5303605316599633
414,3.337226238851891,2.5175713095712973,3.011124755100216,2.9963242207383005,4.023037229534852,3.337226238851891,2.9963242207383005,0.18001876135066136,0.34090201811359044,0.6137994649574932
415,2.365519436415383,1.6168195558587795,2.664203319418085,2.5667486697422763,3.2498571572548562,2.664203319418085,2.5667486697422763,0.05146248596467991,0.09745464967580864,0.4558928966043029
416,2.601929344864022,2.4553579582088605,2.2783771906337362,1.508902467589838,1.675459294192405,2.601929344864022,1.508902467589838,0.5771903189623144,1.093026877274184,0.441281998021802
423,1.2989468088538483,2.131240171941191,2.162571431426928,1.7735834587648023,1.1156926342893712,2.162571431426928,1.7735834587648023,0.20541131849682415,0.3889879726621259,0.33819858379270756
424,1.433307598862029,3.3166559187643445,3.2928471204242626,3.1471403509978133,3.2795879338949887,3.2928471204242626,3.1471403509978133,0.0769427893026314,0.14570676942644933,0.603387108862188
425,2.806315145315034,2.589641425246977,3.5144901009696463,3.8059074851545724,3.4717650568849403,3.5144901009696463,3.8059074851545724,-0.15388760919432298,-0.29141738418492613,0.6553896208820431
437,2.699864084074911,3.3978744758411263,2.464071915796151,2.481289756857998,1.7321205789997771,2.699864084074911,2.481289756857998,0.11542166827399661,0.21857432721691294,0.4642597275237422
439,1.7196931463648681,2.807011156456587,3.308261002484565,4.13351809624579,4.463778626634902,3.308261002484565,4.13351809624579,-0.4357902034045474,-0.8252570937612247,0.6070035580957308
440,3.2129626864117196,3.2703806594895357,2.8699944095595993,2.778510552633513,3.1369307764684384,3.2129626864117196,2.778510552633513,0.22941939570109768,0.4344521337782066,0.5846443937547002
441,1.1770907133552517,1.741912990168294,1.2926905777160151,1.1911511249305662,1.4249501125031074,1.2926905777160151,1.1911511249305662,0.053619531558683285,0.10153945278544896,0.13410464208684333
442,1.9629301317879846,2.9818008358065855,3.2328332231409234,2.2142819068165744,3.153236207200943,3.2328332231409234,2.2142819068165744,0.5378623082122646,1.018551316324349,0.589306476093418
455,2.728989237853621,1.8975530870615913,2.9021265803681735,2.7130809913977796,,2.9021265803681735,2.7130809913977796,0.09982854590763084,0.18904558897039392,0.5117151347230809
456,1.4914170992245852,1.2642181930823908,2.2125794536624825,1.6723865817395216,,2.2125794536624825,1.6723865817395216,0.28525748316815586,0.540192871922961,0.34993160944953006
457,1.815019486122884,2.543406639143316,2.7512024306743297,1.666517417630918,,2.7512024306743297,1.666517417630918,0.5727852641771044,1.0846850130434116,0.4763048776996988
458,2.421257023232956,1.7498207385646498,3.3784933960260704,2.5965742160626872,,3.3784933960260704,2.5965742160626872,0.41290492509325966,0.7819191799633831,0.6234816837748678
459,1.6438700407482896,2.3935368058515163,3.902275666554244,3.4903938792731437,,3.902275666554244,3.4903938792731437,0.21750076335580476,0.4118817872811005,0.7463729828898021
460,1.0498290056054034,1.5218996524224064,0.890567451654633,1.0749379299060138,,1.0498290056054034,1.0749379299060138,-0.013259168943779298,-0.025108924300610402,0.07712376323488716
461,2.9418387546363767,2.3522294137158384,3.6094327032740345,3.3002665982589696,,3.6094327032740345,3.3002665982589696,0.16326010501315277,0.3091661050150649,0.6776653266381264
