Subject,Phase_vs_phase,model,Silhouette_Manhalanobis
284,KMeans,phase1_vs_phase3,0.14419917160610388
284,KMeans,phase1_vs_phase4,0.1406241898230311
284,KMeans,phase1_vs_phase5,0.14347771778665197
285,Birch,phase1_vs_phase2,0.13738770114810245
285,Birch,phase1_vs_phase3,0.16857112206690827
285,Birch,phase1_vs_phase4,0.24198680861739044
285,Birch,phase1_vs_phase5,0.10948107594162336
285,KMeans,phase1_vs_phase2,0.11109285295733384
285,KMeans,phase1_vs_phase3,0.17316474685457114
285,KMeans,phase1_vs_phase4,0.14653822473962727
285,KMeans,phase1_vs_phase5,0.15824657660144106
287,Birch,phase1_vs_phase2,0.16054328947887517
287,Birch,phase1_vs_phase3,0.5616391400108991
287,Birch,phase1_vs_phase4,0.6207618292130144
287,Birch,phase1_vs_phase5,0.5948885429519535
287,KMeans,phase1_vs_phase2,0.15870338972668796
287,KMeans,phase1_vs_phase3,0.1500800180173072
287,KMeans,phase1_vs_phase4,0.14687619861994022
287,KMeans,phase1_vs_phase5,0.14559718818644304
288,Birch,phase1_vs_phase2,0.12093374534824387
288,Birch,phase1_vs_phase3,0.14176589385954613
288,Birch,phase1_vs_phase4,0.13279694166296488
288,Birch,phase1_vs_phase5,0.13881326416973505
288,KMeans,phase1_vs_phase2,0.14308884342440373
288,KMeans,phase1_vs_phase3,0.1525178130977999
288,KMeans,phase1_vs_phase4,0.1484884224011732
288,KMeans,phase1_vs_phase5,0.1482738360183094
289,Birch,phase1_vs_phase2,0.14590497096645574
289,Birch,phase1_vs_phase3,0.1572788870735833
289,Birch,phase1_vs_phase4,0.16907536315016136
289,Birch,phase1_vs_phase5,0.16126906539023778
289,KMeans,phase1_vs_phase2,0.14655250505677098
289,KMeans,phase1_vs_phase3,0.15506986884151353
289,KMeans,phase1_vs_phase4,0.16824696418549762
289,KMeans,phase1_vs_phase5,0.16031296697844663
292,Birch,phase1_vs_phase2,0.16877357863334028
292,Birch,phase1_vs_phase3,0.26917813082666125
292,Birch,phase1_vs_phase4,0.23062153316861475
292,Birch,phase1_vs_phase5,0.22996950894917212
292,KMeans,phase1_vs_phase2,0.13214567787767229
292,KMeans,phase1_vs_phase3,0.20744883479697815
292,KMeans,phase1_vs_phase4,0.23062153316861475
292,KMeans,phase1_vs_phase5,0.2244025503956982
304,Birch,phase1_vs_phase2,0.17532696800469705
304,Birch,phase1_vs_phase3,0.14237954800891364
304,Birch,phase1_vs_phase4,0.1702452393460644
304,Birch,phase1_vs_phase5,0.14954722654037964
304,KMeans,phase1_vs_phase2,0.23511274935247242
304,KMeans,phase1_vs_phase3,0.1413305936328995
304,KMeans,phase1_vs_phase4,0.2368227345918944
304,KMeans,phase1_vs_phase5,0.23314488363429986
305,Birch,phase1_vs_phase2,0.4234462986862979
305,Birch,phase1_vs_phase3,0.42444546079017187
305,Birch,phase1_vs_phase4,0.09322151430495075
305,Birch,phase1_vs_phase5,0.4389924863640849
305,KMeans,phase1_vs_phase2,0.0993197099212088
305,KMeans,phase1_vs_phase3,0.09785319859919021
305,KMeans,phase1_vs_phase4,0.09433767988939121
305,KMeans,phase1_vs_phase5,0.09503584077318711
306,Birch,phase1_vs_phase2,0.728174726458241
306,Birch,phase1_vs_phase3,0.6593741308139246
306,Birch,phase1_vs_phase4,0.5986811618946377
306,Birch,phase1_vs_phase5,0.6292959360658753
306,KMeans,phase1_vs_phase2,0.6700222324911368
306,KMeans,phase1_vs_phase3,0.665762258096588
306,KMeans,phase1_vs_phase4,0.6343605730745885
306,KMeans,phase1_vs_phase5,0.6291285037793564
307,Birch,phase1_vs_phase2,0.4887710292207777
307,Birch,phase1_vs_phase3,0.498866036752879
307,Birch,phase1_vs_phase4,0.5752359511409278
307,Birch,phase1_vs_phase5,0.4942864641008382
307,KMeans,phase1_vs_phase2,0.12639052188598993
307,KMeans,phase1_vs_phase3,0.12541983245482954
307,KMeans,phase1_vs_phase4,0.5538296914961054
307,KMeans,phase1_vs_phase5,0.12075250556155769
308,Birch,phase1_vs_phase2,0.478141302452683
308,Birch,phase1_vs_phase3,0.26045436568022773
308,Birch,phase1_vs_phase4,0.4638447208782935
308,Birch,phase1_vs_phase5,0.4868859707479725
308,KMeans,phase1_vs_phase2,0.12474818372726745
308,KMeans,phase1_vs_phase3,0.12696734860195655
308,KMeans,phase1_vs_phase4,0.10990219604125662
308,KMeans,phase1_vs_phase5,0.12924999290870326
309,Birch,phase1_vs_phase2,0.09367267916790882
309,Birch,phase1_vs_phase3,0.13550158342120197
309,Birch,phase1_vs_phase4,0.21394535028192294
309,Birch,phase1_vs_phase5,0.21403332838481123
309,KMeans,phase1_vs_phase2,0.14155712023660116
309,KMeans,phase1_vs_phase3,0.16784746673318077
309,KMeans,phase1_vs_phase4,0.2143660650405603
309,KMeans,phase1_vs_phase5,0.21283217274578894
310,Birch,phase1_vs_phase2,0.49362184798337333
310,Birch,phase1_vs_phase3,0.5131478516011431
310,Birch,phase1_vs_phase4,0.520541784754396
310,Birch,phase1_vs_phase5,0.4930937710769977
310,KMeans,phase1_vs_phase2,0.13723978312015117
310,KMeans,phase1_vs_phase3,0.17658079309722352
310,KMeans,phase1_vs_phase4,0.14066884683363706
310,KMeans,phase1_vs_phase5,0.11795328906779669
311,Birch,phase1_vs_phase2,0.12766076489341094
311,Birch,phase1_vs_phase3,0.3085312382214359
311,Birch,phase1_vs_phase4,0.4556510224459002
311,Birch,phase1_vs_phase5,0.7055399650976416
311,KMeans,phase1_vs_phase2,0.12696665537594162
311,KMeans,phase1_vs_phase3,0.12435660839746454
311,KMeans,phase1_vs_phase4,0.11479827882060198
311,KMeans,phase1_vs_phase5,0.6559883153606184
312,Birch,phase1_vs_phase2,0.15122548053807303
312,Birch,phase1_vs_phase3,0.15172307083115666
312,Birch,phase1_vs_phase4,0.1413913702382798
312,Birch,phase1_vs_phase5,0.15201428616391774
312,KMeans,phase1_vs_phase2,0.12768697531441667
312,KMeans,phase1_vs_phase3,0.15547011913458267
312,KMeans,phase1_vs_phase4,0.12446641386998705
312,KMeans,phase1_vs_phase5,0.15682810822545615
313,Birch,phase1_vs_phase2,0.1962596063207956
313,Birch,phase1_vs_phase3,0.21650860269028813
313,Birch,phase1_vs_phase4,0.23607763515774136
313,Birch,phase1_vs_phase5,0.22939540369379355
313,KMeans,phase1_vs_phase2,0.19862393514824878
313,KMeans,phase1_vs_phase3,0.21506762442626995
313,KMeans,phase1_vs_phase4,0.23599778684884073
313,KMeans,phase1_vs_phase5,0.2536231224259515
314,Birch,phase1_vs_phase2,0.14355513038737594
314,Birch,phase1_vs_phase3,0.15901334672423723
314,Birch,phase1_vs_phase4,0.14754230118184006
314,Birch,phase1_vs_phase5,0.16145652724194476
314,KMeans,phase1_vs_phase2,0.1423862905912493
314,KMeans,phase1_vs_phase3,0.1595566025972586
314,KMeans,phase1_vs_phase4,0.14661013174102314
314,KMeans,phase1_vs_phase5,0.16259373300237745
315,Birch,phase1_vs_phase2,0.3677539212871691
315,Birch,phase1_vs_phase3,0.14548101596645763
315,Birch,phase1_vs_phase4,0.31981697281110133
315,Birch,phase1_vs_phase5,0.14293169516311258
315,KMeans,phase1_vs_phase2,0.12696584259643642
315,KMeans,phase1_vs_phase3,0.13381526475381203
315,KMeans,phase1_vs_phase4,0.12448122122833098
315,KMeans,phase1_vs_phase5,0.1265920107710231
