Subject,Phase_vs_phase,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
216,phase1_vs_phase2,546.070914,0.088289333,8.832264709
216,phase1_vs_phase4,999.0060973,0.114850947,5.021497714
216,phase3_vs_phase2,104.6942844,0.075495759,19.17308562
216,phase3_vs_phase4,1660.566162,0.127276804,4.05339296
216,phase5_vs_phase2,696.0839336,0.12214242,7.365943326
216,phase5_vs_phase4,877.3230704,0.132166157,5.366712392
217,phase1_vs_phase3,527.6423855,0.092846633,6.899042494
217,phase1_vs_phase5,765.5248772,0.11455038,3.946092
217,phase3_vs_phase5,276.6621379,0.120134638,5.535660574
217,phase1_vs_phase2,485.1076596,0.091156169,4.465711095
217,phase1_vs_phase4,761.9037772,0.104279959,4.74060644
217,phase3_vs_phase2,584.0295763,0.11101366,3.427513884
217,phase3_vs_phase4,516.5278152,0.113289853,4.967985028
217,phase5_vs_phase2,754.4491582,0.125304803,2.486707763
217,phase5_vs_phase4,551.6494982,0.117529223,3.411973547
219,phase1_vs_phase3,455.2272696,0.108051379,7.031082367
219,phase1_vs_phase5,69.5099774,0.091585009,18.21723681
219,phase3_vs_phase5,526.8965406,0.121794116,6.379896793
219,phase1_vs_phase2,64.86004753,0.083692853,19.69217466
219,phase1_vs_phase4,915.6911464,0.10728158,4.919288387
219,phase3_vs_phase2,387.4441472,0.120881921,7.672289437
219,phase3_vs_phase4,1802.671912,0.112576547,3.424269194
219,phase5_vs_phase2,26.03899776,0.09763973,29.93693057
219,phase5_vs_phase4,559.2716467,0.10505695,6.122063403
220,phase1_vs_phase3,189.9532827,0.117660081,10.34411866
220,phase1_vs_phase5,181.0791573,0.112943229,11.97460868
220,phase3_vs_phase5,157.9495661,0.122679249,12.20227233
220,phase1_vs_phase2,118.406523,0.083404321,16.67675041
220,phase1_vs_phase4,355.5495918,0.094200035,9.741755487
220,phase3_vs_phase2,68.54568427,0.111287712,18.26039589
220,phase3_vs_phase4,117.1408923,0.115746185,13.2877386
220,phase5_vs_phase2,149.497442,0.137996566,13.78636352
220,phase5_vs_phase4,121.774825,0.111147767,14.7103365
231,phase1_vs_phase3,4695.511431,0.11417411,2.908999933
231,phase1_vs_phase5,3331.614171,0.126193468,3.341455589
231,phase3_vs_phase5,386.3081669,0.124180324,10.1937767
231,phase1_vs_phase2,2553.954794,0.104686019,3.151515262
231,phase1_vs_phase4,3733.40306,0.115915157,3.287511105
231,phase3_vs_phase2,101.5634279,0.091236349,16.07122027
231,phase3_vs_phase4,164.3082877,0.105503536,16.2264002
231,phase5_vs_phase2,497.273012,0.136658987,7.128687711
231,phase5_vs_phase4,78.61697667,0.106549152,22.74689249
233,phase1_vs_phase3,70.66900112,0.11058946,14.12372007
233,phase1_vs_phase5,919.9677746,0.120851561,6.295174971
233,phase3_vs_phase5,353.0502838,0.150899227,6.891496339
233,phase1_vs_phase2,840.5825456,0.099156076,6.048066365
233,phase1_vs_phase4,233.1914874,0.111518815,12.09752495
233,phase3_vs_phase2,167.771224,0.115769782,8.938775215
