Subject,Phase_vs_phase,model,DaviesBouldin
216,GaussianMixture,phase1_vs_phase5,9.844561561379246
217,Birch,phase1_vs_phase2,0.5164519813968504
217,Birch,phase1_vs_phase3,0.7835839900290904
217,Birch,phase1_vs_phase4,0.8851219091544748
217,Birch,phase1_vs_phase5,0.9104420307563778
217,KMeans,phase1_vs_phase2,0.8465607816380131
217,KMeans,phase1_vs_phase3,0.77304213333407
217,KMeans,phase1_vs_phase4,0.875118407329324
217,KMeans,phase1_vs_phase5,0.892703826410666
217,GaussianMixture,phase1_vs_phase2,2.4933880409341276
217,GaussianMixture,phase1_vs_phase3,4.3077809349952005
217,GaussianMixture,phase1_vs_phase4,2.1678187515873155
217,GaussianMixture,phase1_vs_phase5,2.1943621112685525
219,Birch,phase1_vs_phase2,0.676977877145245
219,Birch,phase1_vs_phase3,0.2489961023477404
219,Birch,phase1_vs_phase4,0.4938864640541382
219,Birch,phase1_vs_phase5,0.6850905762099863
219,KMeans,phase1_vs_phase2,0.6273376452467457
219,KMeans,phase1_vs_phase3,0.2658453007065904
219,KMeans,phase1_vs_phase4,0.36661189778928605
219,KMeans,phase1_vs_phase5,0.6771138608832349
219,GaussianMixture,phase1_vs_phase2,0.21399386204388643
219,GaussianMixture,phase1_vs_phase3,0.28110495189013585
219,GaussianMixture,phase1_vs_phase4,3.080077198025596
219,GaussianMixture,phase1_vs_phase5,0.32529472245222557
220,Birch,phase1_vs_phase2,0.6456068289249184
220,Birch,phase1_vs_phase3,0.5364750888421342
220,Birch,phase1_vs_phase4,0.5436119177839542
220,Birch,phase1_vs_phase5,0.577217642060649
220,KMeans,phase1_vs_phase2,0.6459072259316668
220,KMeans,phase1_vs_phase3,0.5428947903416574
220,KMeans,phase1_vs_phase4,0.681075415542217
220,KMeans,phase1_vs_phase5,0.5825382506968388
220,GaussianMixture,phase1_vs_phase2,6.317892288055905
220,GaussianMixture,phase1_vs_phase3,9.463546767276446
220,GaussianMixture,phase1_vs_phase4,5.57649720467885
220,GaussianMixture,phase1_vs_phase5,6.44184292590214
231,Birch,phase1_vs_phase2,1.3507064789769598
231,Birch,phase1_vs_phase3,0.9748197697027438
231,Birch,phase1_vs_phase4,0.547930547616724
231,Birch,phase1_vs_phase5,1.1025460011437018
231,KMeans,phase1_vs_phase2,0.8347691253553333
231,KMeans,phase1_vs_phase3,0.8235426804145201
231,KMeans,phase1_vs_phase4,1.0087849909150655
231,KMeans,phase1_vs_phase5,0.9496662922227697
231,GaussianMixture,phase1_vs_phase2,0.8756820887895591
231,GaussianMixture,phase1_vs_phase3,0.8235426804145201
231,GaussianMixture,phase1_vs_phase4,1.0087849909150655
231,GaussianMixture,phase1_vs_phase5,0.9496662922227697
233,Birch,phase1_vs_phase2,0.7270363686061452
233,Birch,phase1_vs_phase3,0.570349631866052
233,Birch,phase1_vs_phase4,0.5844975571966564
233,Birch,phase1_vs_phase5,0.6962992931628769
233,KMeans,phase1_vs_phase2,0.7092070961564678
233,KMeans,phase1_vs_phase3,0.5720109864155313
233,KMeans,phase1_vs_phase4,0.5879961100423227
233,KMeans,phase1_vs_phase5,0.6563091715192854
