Subject,Phase_vs_phase,model,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Euclidean,Silhouette_Manhalanobis,DaviesBouldin
209,Birch,phase1_vs_phase3,0.60382487,0.343890671,0.151159312,118007.0481,0.715972307,,0.370753707
209,Birch,phase1_vs_phase4,0.726774089,0.624056614,0.309368597,161660.4793,0.669886213,,0.372869806
209,Birch,phase1_vs_phase5,0.600452459,0.334589217,0.146887137,209378.5121,0.795262982,,0.252551173
209,KMeans,phase1_vs_phase2,0.728027344,0.430398331,0.311098664,49540.47105,0.495597962,,0.860182208
209,KMeans,phase1_vs_phase3,0.616927083,0.379062896,0.167659214,123550.6931,0.707892481,,0.418571333
209,KMeans,phase1_vs_phase4,0.805875651,0.327368045,0.428824197,175609.7616,0.644372059,,0.492685889
209,KMeans,phase1_vs_phase5,0.610836236,0.362900003,0.16000248,217414.4533,0.789764497,,0.302589559
209,GaussianMixture,phase1_vs_phase2,0.748388672,0.404696458,0.339814377,46612.89024,0.470899906,0.171237139,0.896032754
209,GaussianMixture,phase1_vs_phase3,0.76077474,0.685550469,0.357906801,48353.06649,0.442864427,0.165065014,1.029974027
209,GaussianMixture,phase1_vs_phase4,1,0,1,133113.1937,0.616071157,0.230718204,0.54912682
209,GaussianMixture,phase1_vs_phase5,0.842583249,0.813173653,0.494186869,41005.35726,0.45347397,0.161225166,1.005758005
210,Birch,phase1_vs_phase2,0.583974619,0.281971304,0.025243072,54945.02427,0.413708003,,0.796789777
210,Birch,phase1_vs_phase3,0.569329801,0.482080334,0.016462778,39376.63058,0.372488552,,1.094707555
210,Birch,phase1_vs_phase4,0.555378963,0.34076953,0.010253994,35467.21728,0.333518367,,0.964624526
210,Birch,phase1_vs_phase5,0.516563649,0.30638578,0.0011797,78189.54296,0.510409297,,0.638225762
210,KMeans,phase1_vs_phase2,0.53388309,0.486116598,0.003324709,74133.35545,0.451670982,,0.817874559
210,KMeans,phase1_vs_phase3,0.513097439,0.560003565,0.000511568,42958.15377,0.382511684,,1.094307311
210,KMeans,phase1_vs_phase4,0.58100092,0.580772262,0.019005244,43216.36476,0.385943922,,1.038631887
210,KMeans,phase1_vs_phase5,0.505467378,0.447869122,7.80E-05,96425.51876,0.525146933,,0.664551985
210,GaussianMixture,phase1_vs_phase2,0.97589292,3.36E-05,0.860296904,7084.740789,0.184479594,0.206560504,2.430117227
210,GaussianMixture,phase1_vs_phase3,1,1,1,26855.69732,0.358159628,0.231172728,1.26585971
210,GaussianMixture,phase1_vs_phase4,0.943277995,0.939867138,0.73766846,14895.28445,0.237251996,0.226642926,1.737189279
210,GaussianMixture,phase1_vs_phase5,0.854985189,0.25511811,0.518289744,1957.458344,0.055111663,0.172940865,4.406324266
211,Birch,phase1_vs_phase2,0.570912647,0.601334331,0.014953913,69854.18171,0.443359537,,0.871933948
211,Birch,phase1_vs_phase3,0.502134012,0.383934485,3.61E-06,68175.6485,0.434627767,,0.772117533
211,Birch,phase1_vs_phase4,0.505312729,0.492894897,6.96E-05,149991.8216,0.584866012,,0.562694726
211,Birch,phase1_vs_phase5,0.540799314,0.627230173,0.006475465,51377.24513,0.399893705,,0.830879018
211,KMeans,phase1_vs_phase2,0.514946955,0.472564766,0.00063548,74465.85307,0.453633321,,0.859985041
211,KMeans,phase1_vs_phase3,0.510481178,0.494843687,0.000305219,104385.9315,0.514127512,,0.721085904
211,KMeans,phase1_vs_phase4,0.525122703,0.49670302,0.001824954,155546.1322,0.592530761,,0.553694681
211,KMeans,phase1_vs_phase5,0.526395531,0.501776413,0.002030229,92804.95569,0.501247477,,0.745963555
211,GaussianMixture,phase1_vs_phase2,0.517235835,0.544572661,0.000929725,5871.169665,0.07382217,0.152076697,2.824859164
211,GaussianMixture,phase1_vs_phase3,0.513161855,0.487403498,0.000488076,95719.50059,0.494710458,0.167150954,0.745406069
211,GaussianMixture,phase1_vs_phase4,0.504796809,0.526742127,5.59E-05,113203.9176,0.532410622,0.176471808,0.619568856
211,GaussianMixture,phase1_vs_phase5,0.699130888,0.46548989,0.272135816,2495.290448,0.118261122,0.253465762,3.608457273
212,Birch,phase1_vs_phase2,0.54148763,0.153235745,0.068160166,33857.25504,0.714788374,,0.455658004
212,Birch,phase1_vs_phase3,0.510601325,0.527427231,0.000314138,29856.90211,0.298259782,,1.208930998
212,Birch,phase1_vs_phase4,0.502601177,0.049870706,0.000272373,29099.95969,0.698059013,,0.493615068
212,Birch,phase1_vs_phase5,1,1,1,110680.0802,0.590719246,,0.633959435
212,KMeans,phase1_vs_phase2,0.543880208,0.161359828,0.071606225,34063.62215,0.709822522,,0.482476064
212,KMeans,phase1_vs_phase3,0.509418393,0.555175781,0.000273092,31602.70298,0.341882488,,1.168438022
212,KMeans,phase1_vs_phase4,0.513146839,0.168679392,0.002233322,45681.77917,0.620778156,,0.704328099
212,KMeans,phase1_vs_phase5,1,1,1,110680.0802,0.590719246,,0.633959435
212,GaussianMixture,phase1_vs_phase2,0.545979818,0.168430467,0.074603989,33612.83099,0.702573033,0.348241592,0.511400202
212,GaussianMixture,phase1_vs_phase3,0.724882002,0.410720734,0.220939309,16088.77281,0.378456434,0.230388156,1.629768971
212,GaussianMixture,phase1_vs_phase4,0.566398038,0.592492343,0.040769598,27175.64499,0.479460117,0.23217895,1.067999496
212,GaussianMixture,phase1_vs_phase5,1,1,1,110680.0802,0.590719246,0.220326949,0.633959435
215,Birch,phase1_vs_phase2,0.524804688,0.647828258,0.043052874,62818.588,0.820068632,,0.43967776
215,Birch,phase1_vs_phase3,0.509423828,0.036997987,0.017527245,28295.56604,0.827212522,,0.385765256
215,Birch,phase1_vs_phase4,0.550813802,0.184504462,0.081419363,23035.50386,0.61679246,,0.825245674
215,Birch,phase1_vs_phase5,0.508854167,0.034800409,0.016518959,24243.29033,0.816267503,,0.391000418
215,KMeans,phase1_vs_phase2,0.521451823,0.082277296,0.037725723,63265.506,0.831876907,,0.381339878
215,KMeans,phase1_vs_phase3,0.500924023,0.494804421,-9.37E-06,33264.80554,0.375444599,,0.957117048
215,KMeans,phase1_vs_phase4,0.670491926,0.528359949,0.176106188,25280.70612,0.441963555,,1.037327357
215,KMeans,phase1_vs_phase5,0.519658548,0.485990715,0.001103782,29091.12418,0.315270631,,1.119785471
215,GaussianMixture,phase1_vs_phase2,0.866536458,0.237203315,0.541840376,196.3289528,0.117578133,0.223938546,11.86819389
215,GaussianMixture,phase1_vs_phase3,1,0,1,6015.936077,0.170590784,0.274903971,2.238758321
215,GaussianMixture,phase1_vs_phase4,0.987255859,0.98709135,0.913580332,13420.69081,0.291029362,0.296264904,1.46916373
215,GaussianMixture,phase1_vs_phase5,1,1,1,7702.02265,0.246469361,0.261378775,1.956218901
216,Birch,phase1_vs_phase2,0.514811198,0.05754031,0.026810999,23533.52953,0.757331851,,0.352712329
216,Birch,phase1_vs_phase3,0.563395775,0.389087354,0.012043011,27990.07608,0.300781222,,1.240634309
216,Birch,phase1_vs_phase4,0.525032552,0.095356191,0.043410925,49389.38713,0.806696059,,0.336166143
216,Birch,phase1_vs_phase5,0.51371238,0.159698173,0.002674339,35242.35769,0.536965058,,0.588417924
216,KMeans,phase1_vs_phase2,0.521639583,0.208772545,0.004884181,44418.43882,0.605708837,,0.790953223
216,KMeans,phase1_vs_phase3,0.514026972,0.401080514,0.000688862,36845.84927,0.374196774,,1.100328247
216,KMeans,phase1_vs_phase4,0.536067708,0.134564003,0.060224899,52983.81902,0.780921023,,0.447318098
216,KMeans,phase1_vs_phase5,0.502027142,0.430545672,8.68E-07,61442.68791,0.435697843,,0.850973597
216,GaussianMixture,phase1_vs_phase2,0.536058264,0.327774017,0.004794077,10379.64471,0.384195013,0.262001195,2.094825423
216,GaussianMixture,phase1_vs_phase3,0.876298613,0.875136513,0.460996382,5816.824535,0.141966181,0.157760898,2.777529832
216,GaussianMixture,phase1_vs_phase4,1,0,1,2859.20154,0.185745741,0.252920577,2.669091321
216,GaussianMixture,phase1_vs_phase5,1,0,1,430.4445131,0.034097496,0.24043256,9.844561561
217,Birch,phase1_vs_phase2,0.515514409,0.032466143,0.00941703,12318.63189,0.476453491,,0.516451981
217,Birch,phase1_vs_phase3,0.506936565,0.466787183,0.000131647,77310.50813,0.456019341,,0.78358399
217,Birch,phase1_vs_phase4,0.634432091,0.185081654,0.072574552,48447.57899,0.406494911,,0.885121909
217,Birch,phase1_vs_phase5,0.516550572,0.563598053,0.000825215,58114.06855,0.401818359,,0.910442031
217,KMeans,phase1_vs_phase2,0.543288984,0.462527601,0.005403165,66976.51937,0.425938094,,0.846560782
217,KMeans,phase1_vs_phase3,0.51836309,0.43280558,0.001004577,79087.03424,0.464027382,,0.773042133
217,KMeans,phase1_vs_phase4,0.582011359,0.658829226,0.025874118,51036.92045,0.415861412,,0.875118407
217,KMeans,phase1_vs_phase5,0.53578759,0.390542907,0.004015639,59564.04174,0.413187128,,0.892703826
217,GaussianMixture,phase1_vs_phase2,0.867881404,3.78E-05,0.547929873,6348.565262,0.207010223,0.222536971,2.493388041
217,GaussianMixture,phase1_vs_phase3,0.999983724,3.28E-05,0.999731884,2298.091239,0.087142277,0.219802271,4.307780935
217,GaussianMixture,phase1_vs_phase4,0.782405599,0.721890537,0.390835486,4606.310541,0.078089586,0.175439479,2.167818752
217,GaussianMixture,phase1_vs_phase5,0.537100372,0.322193093,0.005144973,8565.953855,0.159600847,0.201985382,2.194362111
219,Birch,phase1_vs_phase2,0.515542413,0.579170923,0.000910669,58582.75459,0.565988696,,0.676977877
219,Birch,phase1_vs_phase3,0.508058234,0.053674882,0.004319124,79106.04575,0.855805069,,0.248996102
219,Birch,phase1_vs_phase4,0.508166842,0.069549683,0.002935638,52761.13469,0.79030526,,0.493886464
219,Birch,phase1_vs_phase5,0.512263838,0.646457043,0.002637668,42078.18729,0.658519518,,0.685090576
219,KMeans,phase1_vs_phase2,0.502439088,0.297870398,1.55E-05,62379.31981,0.611820164,,0.627337645
219,KMeans,phase1_vs_phase3,0.508278273,0.056241212,0.004275061,81007.45695,0.853251054,,0.265845301
219,KMeans,phase1_vs_phase4,0.509478653,0.061602666,0.005174911,55941.90011,0.817121523,,0.366611898
219,KMeans,phase1_vs_phase5,0.506738674,0.618634237,0.000206426,55341.51629,0.576206258,,0.677113861
219,GaussianMixture,phase1_vs_phase2,0.500090311,0.667429678,-2.07E-05,41569.31288,0.839322305,0.25547387,0.213993862
219,GaussianMixture,phase1_vs_phase3,0.508223508,0.057355052,0.00406817,80292.01173,0.850340923,0.231928737,0.281104952
219,GaussianMixture,phase1_vs_phase4,0.98565774,0.985548705,0.896670571,2582.578381,0.106603641,0.222437517,3.080077198
219,GaussianMixture,phase1_vs_phase5,0.5031158,0.037464522,0.00076707,39988.50716,0.816289206,0.217474582,0.325294722
220,Birch,phase1_vs_phase2,0.501052142,0.470365085,-8.64E-06,86764.48795,0.520635974,,0.645606829
220,Birch,phase1_vs_phase3,0.566103053,0.513289616,0.013541876,139880.9926,0.587949703,,0.536475089
220,Birch,phase1_vs_phase4,0.500591908,0.050227604,-3.05E-06,10887.61139,0.50477731,,0.543611918
220,Birch,phase1_vs_phase5,0.621228929,0.538138042,0.052282591,102923.6728,0.530257493,,0.577217642
220,KMeans,phase1_vs_phase2,0.502709252,0.492873871,9.39E-06,89281.27875,0.523977135,,0.645907226
220,KMeans,phase1_vs_phase3,0.530986618,0.49822296,0.002803883,147473.8185,0.595468742,,0.54289479
220,KMeans,phase1_vs_phase4,0.511583811,0.531257387,0.000378266,89967.34434,0.502404912,,0.681075416
220,KMeans,phase1_vs_phase5,0.518409499,0.521076423,0.000966249,135453.9465,0.5706595,,0.582538251
220,GaussianMixture,phase1_vs_phase2,0.820472947,0.260873426,0.352426115,1004.259868,0.0753578,0.184594892,6.317892288
220,GaussianMixture,phase1_vs_phase3,0.718856482,0.360681612,0.156924371,498.0921291,0.049954326,0.225399778,9.463546767
220,GaussianMixture,phase1_vs_phase4,1,0,1,1267.99455,0.050396431,0.218192229,5.576497205
220,GaussianMixture,phase1_vs_phase5,0.9059863,0,0.635437146,886.4597786,0.052901083,0.188932784,6.441842926
231,Birch,phase1_vs_phase2,0.524145651,0.133322547,0.006092227,9520.9244,0.233102361,,1.350706479
231,Birch,phase1_vs_phase3,0.93844932,0,0.725292371,44927.21624,0.445730726,,0.97481977
231,Birch,phase1_vs_phase4,0.517041016,0.065917462,0.030534872,6559.547328,0.492418946,,0.547930548
231,Birch,phase1_vs_phase5,0.938465866,0,0.725343124,36912.55155,0.40620863,,1.102546001
231,KMeans,phase1_vs_phase2,0.951855469,0.949420334,0.766057789,66445.77083,0.490110786,,0.834769125
231,KMeans,phase1_vs_phase3,1,1,1,67412.71051,0.517704943,,0.82354268
231,KMeans,phase1_vs_phase4,1,0,1,42841.29278,0.448440127,,1.008784991
231,KMeans,phase1_vs_phase5,1,1,1,52922.36033,0.469289841,,0.949666292
231,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.999731884,62450.45367,0.474177084,0.225577345,0.875682089
231,GaussianMixture,phase1_vs_phase3,1,0,1,67412.71051,0.517704943,0.240656815,0.82354268
231,GaussianMixture,phase1_vs_phase4,1,0,1,42841.29278,0.448440127,0.24793235,1.008784991
231,GaussianMixture,phase1_vs_phase5,1,1,1,52922.36033,0.469289841,0.24120028,0.949666292
233,Birch,phase1_vs_phase2,0.55525942,0.59507917,0.009244368,92142.87291,0.48484082,,0.727036369
233,Birch,phase1_vs_phase3,0.503089161,0.474642077,1.61E-05,129905.7096,0.564588502,,0.570349632
233,Birch,phase1_vs_phase4,0.513631008,0.489748177,0.000531718,130695.1984,0.559843237,,0.584497557
233,Birch,phase1_vs_phase5,0.591061924,0.376647183,0.024455484,97280.25098,0.492341306,,0.696299293
233,KMeans,phase1_vs_phase2,0.507817556,0.472829418,0.000166034,101401.2724,0.50531633,,0.709207096
233,KMeans,phase1_vs_phase3,0.53120918,0.47753725,0.002802727,140268.2898,0.575507915,,0.572010986
233,KMeans,phase1_vs_phase4,0.520617952,0.488592941,0.001216314,137415.3936,0.566314394,,0.58799611
233,KMeans,phase1_vs_phase5,0.524393159,0.527395473,0.001705714,117077.629,0.534257607,,0.656309172
233,GaussianMixture,phase1_vs_phase2,0.995558971,0.995585816,0.958948459,5047.739284,0.144969626,0.208489446,2.945563846
233,GaussianMixture,phase1_vs_phase3,0.860416667,0.246738114,0.529225906,664.171693,0.140609683,0.212087104,8.540662949
233,GaussianMixture,phase1_vs_phase4,1,0,1,1210.686037,0.077252249,0.246108709,6.117514502
233,GaussianMixture,phase1_vs_phase5,1,1,1,4331.365329,0.146336346,0.245571078,3.204026639
235,Birch,phase1_vs_phase2,0.556673177,0.203613824,0.089535164,34047.16852,0.730197365,,0.766226058
235,Birch,phase1_vs_phase3,0.886832682,0.87239158,0.586176628,28370.91865,0.36013093,,1.21211276
235,Birch,phase1_vs_phase4,0.656542969,0.514425714,0.217361417,69225.85195,0.621814483,,0.65434865
235,Birch,phase1_vs_phase5,0.522070313,0.084549196,0.038716932,17972.07792,0.652713963,,0.455801347
235,KMeans,phase1_vs_phase2,0.523535156,0.089908599,0.041048931,46770.15185,0.837821858,,0.465206972
235,KMeans,phase1_vs_phase3,1,0,1,34748.21344,0.416098541,,1.107804307
235,KMeans,phase1_vs_phase4,0.681005859,0.531583853,0.248528501,74072.16439,0.617988903,,0.692087272
235,KMeans,phase1_vs_phase5,0.866796875,0.846327174,0.542384397,94052.34946,0.631220287,,0.637736031
235,GaussianMixture,phase1_vs_phase2,0.763948568,0.691011356,0.362627469,2170.691063,0.422816537,0.24378913,3.331339954
235,GaussianMixture,phase1_vs_phase3,0.663675145,0.709553542,0.090259345,3280.950687,0.05439964,0.231910024,1.107804307
235,GaussianMixture,phase1_vs_phase4,0.826513672,0.790098659,0.464565819,40489.77907,0.438255609,0.286263144,1.123761326
235,GaussianMixture,phase1_vs_phase5,0.823111979,0.785098473,0.458506206,6547.157483,0.213029051,0.230739531,0.678427955
237,Birch,phase1_vs_phase2,0.501708984,0.006812652,0.003325177,80964.46047,0.960969236,,0.101339561
237,Birch,phase1_vs_phase3,0.504841291,0.076027834,0.000781757,15932.0152,0.541132732,,0.635090663
237,Birch,phase1_vs_phase4,0.685628255,0.54148368,0.25450019,15328.06152,0.238839632,,1.334353048
237,Birch,phase1_vs_phase5,0.51623151,0,0.029442683,8312.618462,0.536368953,,0.491427232
237,KMeans,phase1_vs_phase2,0.502522786,0.010040486,0.004887708,98594.26627,0.955306306,,0.27443081
237,KMeans,phase1_vs_phase3,0.600669727,0.327049105,0.031530812,31543.79019,0.30692361,,1.229139795
237,KMeans,phase1_vs_phase4,1,0,1,33312.44062,0.387526094,,1.157653211
237,KMeans,phase1_vs_phase5,0.561442573,0.367635391,0.01174576,32193.18254,0.298880178,,1.274253937
237,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.999731884,5329.224977,0.317806916,0.246453541,1.121051903
237,GaussianMixture,phase1_vs_phase3,0.638317024,0.708423096,0.078684801,10037.57115,0.157697208,0.228757215,2.006719078
237,GaussianMixture,phase1_vs_phase4,1,1,1,33312.44062,0.387526094,0.254138407,1.157653211
237,GaussianMixture,phase1_vs_phase5,1,0,1,18853.83753,0.271487474,0.239724092,1.586169815
239,Birch,phase1_vs_phase2,0.999983724,3.28E-05,0.999731884,94512.21696,0.571196818,,0.706102636
239,Birch,phase1_vs_phase3,1,0,1,37294.81963,0.399740758,,1.138392155
239,Birch,phase1_vs_phase4,0.596836675,0.461310274,0.028899319,60600.44768,0.419033124,,0.919480982
239,Birch,phase1_vs_phase5,0.503379643,0.383086801,2.88E-05,78693.22226,0.469550105,,0.707005721
239,KMeans,phase1_vs_phase2,0.999983724,0.999983724,0.999731884,94512.21696,0.571196818,,0.706102636
239,KMeans,phase1_vs_phase3,0.573719808,0.465939846,0.016153366,39993.29347,0.363439722,,1.159077561
239,KMeans,phase1_vs_phase4,0.535969803,0.486746027,0.003931773,65151.60956,0.43181528,,0.88411567
239,KMeans,phase1_vs_phase5,0.531329619,0.498201281,0.00289751,92362.92178,0.470925313,,0.756223885
239,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.999731884,94512.21696,0.571196818,0.254502677,0.706102636
239,GaussianMixture,phase1_vs_phase3,0.967900989,0.969390975,0.827299388,33269.18753,0.360968593,0.212784281,1.205287326
239,GaussianMixture,phase1_vs_phase4,0.54469736,0.476686863,0.006359468,63681.35986,0.434806795,0.159960595,0.889420887
239,GaussianMixture,phase1_vs_phase5,0.51809545,0.435682659,0.001058073,342.6146062,0.044134983,0.203951997,11.54224287
244,Birch,phase1_vs_phase2,0.516785884,0.081559406,0.014659082,18064.45436,0.646201372,,0.645713623
244,Birch,phase1_vs_phase3,0.54269797,0.683259836,0.030663823,15951.10286,0.388854363,,0.841214913
244,Birch,phase1_vs_phase4,0.509217525,0.053555172,0.006176968,37195.45139,0.780993242,,0.374624686
244,Birch,phase1_vs_phase5,0.500037837,0.018471765,-2.18E-05,11893.02042,0.728569001,,0.535282887
244,KMeans,phase1_vs_phase2,0.994124349,0.01177814,0.953542985,42743.32581,0.475159329,,0.884589562
244,KMeans,phase1_vs_phase3,0.5254415,0.538170256,0.002047055,46175.08264,0.42285153,,0.933861215
244,KMeans,phase1_vs_phase4,0.512342525,0.065216713,0.009517876,37444.95998,0.764848881,,0.449191459
244,KMeans,phase1_vs_phase5,0.56623061,0.483311842,0.01327761,44702.42938,0.411069699,,0.953138125
244,GaussianMixture,phase1_vs_phase2,0.999983724,3.28E-05,0.999731884,42616.81356,0.475655227,0.184493688,0.884216589
244,GaussianMixture,phase1_vs_phase3,0.926751382,0.932788802,0.69080927,15915.50918,0.252297612,0.192288448,1.604547105
244,GaussianMixture,phase1_vs_phase4,0.709402065,0.225677731,0.136705579,9259.386607,0.24518758,0.176425284,1.950349516
244,GaussianMixture,phase1_vs_phase5,0.525432806,0.603589356,0.002288466,2593.086037,0.004044418,0.093278569,5.660454188
245,Birch,phase1_vs_phase2,0.50094852,0.069533005,1.09E-05,9258.483737,0.407179567,,0.769897716
245,Birch,phase1_vs_phase3,0.602844462,0.552547125,0.033142054,48346.93175,0.371258457,,0.963500858
245,Birch,phase1_vs_phase4,0.555444998,0.410009926,0.009064358,66488.53891,0.424048483,,0.831331721
245,Birch,phase1_vs_phase5,0.568624746,0.116752041,0.035991084,27842.5569,0.354433453,,0.839313743
245,KMeans,phase1_vs_phase2,0.999983724,3.28E-05,0.999731884,43350.14002,0.467808258,,0.956053693
245,KMeans,phase1_vs_phase3,0.522462469,0.514355304,0.001447816,59065.47081,0.400196396,,0.90608988
245,KMeans,phase1_vs_phase4,0.544915289,0.587421759,0.006128824,71745.80252,0.456279067,,0.792138591
245,KMeans,phase1_vs_phase5,0.519588933,0.558931804,0.001138888,64349.67208,0.429699806,,0.882116951
245,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.999731884,43350.14002,0.467808258,0.224542184,0.956053693
245,GaussianMixture,phase1_vs_phase3,0.588658536,0.426361673,0.022849982,6789.981885,0.137650166,0.148020729,2.550862926
245,GaussianMixture,phase1_vs_phase4,0.651850093,0.338130935,0.06771357,3546.638985,0.113833099,0.167747094,3.389016267
245,GaussianMixture,phase1_vs_phase5,1,0,1,10099.608,0.207433476,0.198317458,2.057952189
246,Birch,phase1_vs_phase2,0.573668281,0.221393863,0.024612681,40374.29341,0.363346685,,0.86640538
246,Birch,phase1_vs_phase3,0.510563151,0.041378431,0.01952755,41539.88404,0.888332969,,0.312596234
246,Birch,phase1_vs_phase4,0.520589193,0.079099578,0.036336502,8768.496479,0.494251007,,0.492172245
246,Birch,phase1_vs_phase5,0.798014323,0.746889659,0.415809602,57467.28533,0.457390662,,0.822724997
246,KMeans,phase1_vs_phase2,0.504951885,0.506736429,5.89E-05,60425.62966,0.402522694,,0.931730989
246,KMeans,phase1_vs_phase3,0.514404297,0.056003797,0.026124465,45997.21313,0.877860761,,0.359299483
246,KMeans,phase1_vs_phase4,0.911192066,0.90284778,0.635926594,48340.56527,0.431341347,,0.965843533
246,KMeans,phase1_vs_phase5,0.987402344,0.987241618,0.914362083,71966.49485,0.527054919,,0.787101359
246,GaussianMixture,phase1_vs_phase2,0.999169922,0.001672405,0.991073716,7822.835462,0.172408774,0.221323903,2.413596477
246,GaussianMixture,phase1_vs_phase3,0.538557943,0.635031918,0.063894089,2840.677477,0.801944486,0.520134999,7.091265982
246,GaussianMixture,phase1_vs_phase4,1,0,1,46820.44513,0.452825738,0.209274527,0.958362308
246,GaussianMixture,phase1_vs_phase5,1,1,1,70911.4337,0.52694323,0.252136354,0.786693435
256,Birch,phase1_vs_phase2,0.501005337,0.004933463,0.001048827,1022.237552,0.623730944,,0.419143555
256,Birch,phase1_vs_phase3,0.576181895,0.519156299,0.020885155,47973.25531,0.394092196,,0.916052705
256,Birch,phase1_vs_phase4,0.500215096,0,0.000405943,147.0360667,0.617141359,,0.390680996
256,Birch,phase1_vs_phase5,0.509203304,0.133264284,0.001448922,21893.15885,0.489655264,,0.767212921
256,KMeans,phase1_vs_phase2,0.544469743,0.52794535,0.005748459,49328.4221,0.378474255,,0.97641996
256,KMeans,phase1_vs_phase3,0.553920547,0.484907736,0.008626658,52007.29013,0.386156411,,0.972116096
256,KMeans,phase1_vs_phase4,0.566492289,0.416055185,0.012860873,55963.79109,0.39507682,,0.958753107
256,KMeans,phase1_vs_phase5,0.615640156,0.322884182,0.040915826,36580.08992,0.341048624,,1.141209612
256,GaussianMixture,phase1_vs_phase2,0.736108047,0.649720079,0.278819876,2205.915193,0.001216132,0.198948693,3.233445848
256,GaussianMixture,phase1_vs_phase3,0.698124991,0.46148961,0.235970002,4563.765652,0.16033323,0.2859194,2.607880217
256,GaussianMixture,phase1_vs_phase4,0.993596744,0,0.950827689,13785.49793,0.291759352,0.231817082,1.647175715
256,GaussianMixture,phase1_vs_phase5,0.996823191,0,0.972419797,22429.25375,0.372677455,0.233574324,1.248492656
260,Birch,phase1_vs_phase2,0.516547262,0.098019126,0.004286909,36906.05675,0.568066349,,0.599341609
260,Birch,phase1_vs_phase3,0.510308795,0.409098089,0.000352071,76472.84133,0.537421787,,0.605047287
260,Birch,phase1_vs_phase4,0.540339024,0.649498673,0.008559933,42367.03271,0.461100198,,0.684365409
260,Birch,phase1_vs_phase5,0.521914728,0.439369663,0.001414329,62262.04759,0.43860761,,0.760916592
260,KMeans,phase1_vs_phase2,0.532032051,0.599461949,0.003423921,81561.07696,0.543370592,,0.644529268
260,KMeans,phase1_vs_phase3,0.508394532,0.430553007,0.000205375,79734.87602,0.529613038,,0.635879802
260,KMeans,phase1_vs_phase4,0.500094856,0.452556054,-1.19E-05,61080.70551,0.478918009,,0.715106865
