,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
219,KMeans,phase1_vs_phase4,0.509478653,0.061602666,0.504133399,0.088770502,0.005345254
219,KMeans,phase1_vs_phase5,0.506788851,0.293907463,0.503065173,0.042758877,0.003723678
219,GaussianMixture,phase1_vs_phase2,0.890896456,0,0.500400758,0.163313222,0.390495698
219,GaussianMixture,phase1_vs_phase3,0.878429646,0.890152193,0.504785673,0.172842868,0.373643973
219,GaussianMixture,phase1_vs_phase4,0.985625188,0.985515348,0.533608774,0.606340899,0.452016415
219,GaussianMixture,phase1_vs_phase5,0.83427614,0.805245023,0.503941253,0.146301052,0.330334887
220,Birch,phase1_vs_phase2,0.511235754,0.061102599,0.500902917,0.078985333,0.010332837
220,Birch,phase1_vs_phase3,0.631489676,0.503844295,0.500016276,6.51E-05,0.1314734
220,Birch,phase1_vs_phase4,0.514053571,0.141491708,0.503027053,0.048894636,0.011026518
220,Birch,phase1_vs_phase5,0.559230555,0.491483174,0.500016276,6.51E-05,0.059214279
220,KMeans,phase1_vs_phase2,0.502709252,0.492873871,0.501195899,0.069734244,0.001513354
220,KMeans,phase1_vs_phase3,0.530986618,0.506298968,0.507065639,0.658439056,0.023920979
220,KMeans,phase1_vs_phase4,0.511583811,0.470588235,0.503449519,0.66523208,0.008134292
220,KMeans,phase1_vs_phase5,0.518409499,0.482962914,0.509476284,0.655317055,0.008933215
220,GaussianMixture,phase1_vs_phase2,0.733124719,0.337765642,0.561149615,0.514188319,0.171975104
220,GaussianMixture,phase1_vs_phase3,0.718856482,0.681333753,0.500016276,6.51E-05,0.218840206
220,GaussianMixture,phase1_vs_phase4,0.912339919,0.920614942,0.547055148,0.138436231,0.36528477
220,GaussianMixture,phase1_vs_phase5,0.9059863,0.915348172,0.540434209,0.152960737,0.365552091
231,Birch,phase1_vs_phase2,0.918082682,0.152579882,0.500016276,6.51E-05,0.418066406
231,Birch,phase1_vs_phase3,1,0,0.501836593,0,0.498163407
231,Birch,phase1_vs_phase4,0.515087252,0.065966452,0.501820317,6.49E-05,0.013266936
231,Birch,phase1_vs_phase5,0.64289328,0.454149558,0.500016276,6.51E-05,0.142877004
231,KMeans,phase1_vs_phase2,0.952034505,0.949617903,0.537604847,0.244339319,0.414429659
231,KMeans,phase1_vs_phase3,1,0,0.517133917,0.620435876,0.482866083
231,KMeans,phase1_vs_phase4,1,1,0.50426378,0.345050959,0.49573622
231,KMeans,phase1_vs_phase5,1,1,0.503880342,0.597040882,0.496119658
231,GaussianMixture,phase1_vs_phase2,0.999983724,3.28E-05,0.521732539,0.663598005,0.478251185
231,GaussianMixture,phase1_vs_phase3,1,0,0.502949911,0.214142039,0.497050089
231,GaussianMixture,phase1_vs_phase4,1,1,0.501847637,0.259756009,0.498152363
231,GaussianMixture,phase1_vs_phase5,1,0,0.8704292,0,0.1295708
233,Birch,phase1_vs_phase2,0.526729605,0.55372272,0.500016276,6.51E-05,0.026713329
233,Birch,phase1_vs_phase3,0.526800137,0.475954161,0.500016276,6.51E-05,0.026783861
233,Birch,phase1_vs_phase4,0.590509696,0.402209103,0.500016276,6.51E-05,0.09049342
233,Birch,phase1_vs_phase5,0.534393309,0.462647661,0.502512969,0.656566341,0.03188034
233,KMeans,phase1_vs_phase2,0.507817556,0.529015227,0.500074382,0.089128887,0.007743174
233,KMeans,phase1_vs_phase3,0.531087962,0.477253635,0.500016276,6.51E-05,0.031071686
233,KMeans,phase1_vs_phase4,0.520617952,0.51587249,0.504072513,0.094348602,0.016545439
233,KMeans,phase1_vs_phase5,0.524393159,0.527395473,0.503946978,0.096263984,0.020446181
233,GaussianMixture,phase1_vs_phase2,0.995558971,0.995585816,0.523553379,0.281899329,0.472005591
233,GaussianMixture,phase1_vs_phase3,0.860611979,0.246435406,0.511329691,0.261011178,0.349282288
233,GaussianMixture,phase1_vs_phase4,1,1,0.538412793,0.188808265,0.461587207
233,GaussianMixture,phase1_vs_phase5,1,0,0.529832865,0.30262107,0.470167135
235,Birch,phase1_vs_phase2,0.531103516,0.117127885,0.500016276,6.51E-05,0.03108724
235,Birch,phase1_vs_phase3,0.681233608,0.566725742,0.500016276,6.51E-05,0.181217332
235,Birch,phase1_vs_phase4,0.667317708,0.502340899,0.500016276,6.51E-05,0.167301432
235,Birch,phase1_vs_phase5,0.52281901,0.087292198,0.500016276,6.51E-05,0.022802734
235,KMeans,phase1_vs_phase2,0.523535156,0.089908599,0.523583984,0.090086729,-4.88281E-05
235,KMeans,phase1_vs_phase3,1,1,0.518721743,0.626648418,0.481278257
235,KMeans,phase1_vs_phase4,0.680973307,0.486739508,0.500016276,6.51E-05,0.180957031
235,KMeans,phase1_vs_phase5,0.866796875,0.846327174,0.500016276,6.51E-05,0.366780599
235,GaussianMixture,phase1_vs_phase2,0.764160156,0.691373802,0.612307706,0.457341157,0.15185245
235,GaussianMixture,phase1_vs_phase3,1,0,0.545985119,0.280978934,0.454014881
235,GaussianMixture,phase1_vs_phase4,0.826497396,0.790074833,0.500016276,6.51E-05,0.32648112
235,GaussianMixture,phase1_vs_phase5,0.887776693,0.203290385,0.500016276,6.51E-05,0.387760417
237,Birch,phase1_vs_phase2,0.503173828,0.667475728,0.500016276,6.51E-05,0.003157552
237,Birch,phase1_vs_phase3,0.5,0,0.500016276,6.51E-05,-1.6276E-05
237,Birch,phase1_vs_phase4,0.5,0,0.500016276,6.51E-05,-1.6276E-05
237,Birch,phase1_vs_phase5,0.5,0,0.529869968,0.392788533,-0.029869968
237,KMeans,phase1_vs_phase2,0.502522786,0.668058227,0.500016276,6.51E-05,0.00250651
237,KMeans,phase1_vs_phase3,0.600474954,0.642175348,0.501949338,0.325390376,0.098525617
237,KMeans,phase1_vs_phase4,1,0,0.51040814,0.350707614,0.48959186
237,KMeans,phase1_vs_phase5,0.561442033,0.367588714,0.530000532,0.570196173,0.031441501
