Subject,Phase_vs_phase,model,AUC,F1
209,Birch,phase1_vs_phase5,0.5026366329221054,0.010491208755626072
209,KMeans,phase1_vs_phase2,0.500244140625,0.0009760858955588092
209,KMeans,phase1_vs_phase3,0.5000813802083334,0.00032546786004882016
209,KMeans,phase1_vs_phase4,0.5006184895833333,0.0024709018791859026
209,KMeans,phase1_vs_phase5,0.501285765437323,0.005129870129870131
209,GaussianMixture,phase1_vs_phase2,0.5255934283894239,0.14468160065764366
209,GaussianMixture,phase1_vs_phase3,0.5000813802083334,0.00032546786004882016
209,GaussianMixture,phase1_vs_phase4,0.9935807375688723,0.9937241200828157
209,GaussianMixture,phase1_vs_phase5,0.5736237517595572,0.2992130199689491
210,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
210,Birch,phase1_vs_phase3,0.5001790364583333,0.0007158894926946732
210,Birch,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
210,Birch,phase1_vs_phase5,0.5000162755118649,6.509992839007877e-05
210,KMeans,phase1_vs_phase2,0.5066976258857218,0.04441168340551
210,KMeans,phase1_vs_phase3,0.5005469302606598,0.06345425674850373
210,KMeans,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
210,KMeans,phase1_vs_phase5,0.5000162755118649,6.509992839007877e-05
210,GaussianMixture,phase1_vs_phase2,0.5636789328526755,0.5928468423373497
210,GaussianMixture,phase1_vs_phase3,0.5616449673244689,0.298411704874423
210,GaussianMixture,phase1_vs_phase4,0.7669844510076442,0.3342036553524804
210,GaussianMixture,phase1_vs_phase5,0.5737004684009265,0.5824097976826559
211,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
211,Birch,phase1_vs_phase3,0.5000162760416667,6.51020474593926e-05
211,Birch,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
211,Birch,phase1_vs_phase5,0.5000162755118649,6.509992839007877e-05
211,KMeans,phase1_vs_phase2,0.5019962784046255,0.062131077709487
211,KMeans,phase1_vs_phase3,0.5007773946802921,0.07069665918874675
211,KMeans,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
211,KMeans,phase1_vs_phase5,0.5014985502913246,0.0617859427840234
211,GaussianMixture,phase1_vs_phase2,0.5086132059533117,0.19494435694182652
211,GaussianMixture,phase1_vs_phase3,0.5183760210618733,0.45311608115821705
211,GaussianMixture,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
211,GaussianMixture,phase1_vs_phase5,0.608827418400627,0.5747408911208463
212,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
212,Birch,phase1_vs_phase3,0.5001532303765842,0.6702613023641641
212,Birch,phase1_vs_phase4,0.5006165150650254,0.6704662081013212
212,Birch,phase1_vs_phase5,0.5003813647999811,0.0001951282968551823
212,KMeans,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
212,KMeans,phase1_vs_phase3,0.5001532303765843,0.0010402782744384123
212,KMeans,phase1_vs_phase4,0.5002989052313942,0.6704134973208343
212,KMeans,phase1_vs_phase5,0.9991260365090051,0.00036120049911341694
212,GaussianMixture,phase1_vs_phase2,0.5000325520833333,0.00013019985678015754
212,GaussianMixture,phase1_vs_phase3,0.5014079495076567,0.1288577610750484
212,GaussianMixture,phase1_vs_phase4,0.5113623720667254,0.18715258005911223
212,GaussianMixture,phase1_vs_phase5,0.5487381890842682,0.375234521575985
215,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
215,Birch,phase1_vs_phase3,0.5000162760416667,6.51020474593926e-05
215,Birch,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
215,Birch,phase1_vs_phase5,0.5000162760416667,6.51020474593926e-05
215,KMeans,phase1_vs_phase2,0.5214518229166667,0.08227729571134276
215,KMeans,phase1_vs_phase3,0.5024156648006014,0.6654583463060979
215,KMeans,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
215,KMeans,phase1_vs_phase5,0.5000162760416667,6.51020474593926e-05
215,GaussianMixture,phase1_vs_phase2,0.505455975415922,0.23305682803020927
215,GaussianMixture,phase1_vs_phase3,0.5098915692140086,0.20279060275999286
215,GaussianMixture,phase1_vs_phase4,0.5000162760416667,6.51020474593926e-05
215,GaussianMixture,phase1_vs_phase5,0.5137930687362462,0.14514378730330985
216,Birch,phase1_vs_phase2,0.5000162760416667,6.51020474593926e-05
