Subject,Phase_vs_phase,model,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
256,SpectralClustering,phase1_vs_phase4,0.5551268949558845,0.3969017094017094,0.009111200797969492,55484.98931482304,0.12802409697661965,0.9590394679843983
256,SpectralClustering,phase1_vs_phase5,0.5763982546550804,0.3315670522097506,0.018901118840646023,36167.81386718531,0.11570777400539552,1.1357542137306897
260,SpectralClustering,phase1_vs_phase2,0.5043811975960902,0.03949900621509922,0.0015704401506599255,18745.40554926594,0.41107754266215596,0.2989574010856876
260,SpectralClustering,phase1_vs_phase3,0.5037150965917552,0.006038996498666924,0.002937452255098314,6132.863634565328,0.4027425854537692,0.2658450721563657
260,SpectralClustering,phase1_vs_phase4,0.501904296875,0.007588286798326685,0.003701893286519119,6402.088921991109,0.6018909330012855,0.17323398223742478
260,SpectralClustering,phase1_vs_phase5,0.5053277739170721,0.0,0.010225557017176562,8584.68238893342,0.5779496175556176,0.20958403830501962
261,SpectralClustering,phase1_vs_phase2,0.503857421875,0.015311561197790483,0.007412436225171556,4093.9885870641624,0.33683353724713216,0.3126552414928343
261,SpectralClustering,phase1_vs_phase3,0.5117085574783249,0.5450482167457524,0.00039380742820266086,195249.84864365243,0.17477839140902826,0.43825010630603756
261,SpectralClustering,phase1_vs_phase4,0.505953756005638,0.4605058467777176,9.278495296919287e-05,134041.55668596263,0.16222885044944943,0.5922331368085805
261,SpectralClustering,phase1_vs_phase5,0.504296875,0.01704105344694036,0.00823427555200188,7120.778540657202,0.4468519082474783,0.23119869895549122
263,SpectralClustering,phase1_vs_phase2,0.5258121006367062,0.49689549019948864,0.0019506156867157341,115170.63890928176,0.15656480740776013,0.6112586563349218
263,SpectralClustering,phase1_vs_phase3,0.5173728720444918,0.4113152696507771,0.0009365893905813411,77691.84214485862,0.1531720581557251,0.7353350520010357
263,SpectralClustering,phase1_vs_phase4,0.5342596280227259,0.48966842001328476,0.003533444587128873,44918.85410918349,0.14790093967211831,1.0382769499003173
263,SpectralClustering,phase1_vs_phase5,0.5012933191866045,0.4447443777700768,-6.901043049665097e-06,90089.87507020893,0.15712775846623014,0.7147241400709156
264,SpectralClustering,phase1_vs_phase2,0.5029507980414847,0.46700061516829244,1.3894451237959082e-05,157467.9666462401,0.1537645000212586,0.5093327649705667
264,SpectralClustering,phase1_vs_phase3,0.5093832099243232,0.46464140754912653,0.00025276874984391624,151110.17598993648,0.1499231720565691,0.5182776491031875
264,SpectralClustering,phase1_vs_phase4,0.5339652519032934,0.4061947708845768,0.003523172873184952,133978.98665583835,0.14522729721625408,0.5587984424845505
264,SpectralClustering,phase1_vs_phase5,0.5286178652994598,0.40566524237512896,0.0025270816510892993,139566.11961979044,0.14557817868900616,0.5440076918812423
269,SpectralClustering,phase1_vs_phase2,0.5020185975710645,0.0,0.003951772098445043,3349.3901801139127,0.5658720074011374,0.1996461537071441
269,SpectralClustering,phase1_vs_phase3,1.0,0.0,1.0,55828.19236862226,0.23168488383580213,0.8283664139200712
269,SpectralClustering,phase1_vs_phase4,0.9999837239583333,0.9999837236934195,0.9997318841539896,101832.61006104932,0.2569206146252904,0.5354508313858981
269,SpectralClustering,phase1_vs_phase5,1.0,0.0,1.0,124547.6519410926,0.24941329733728562,0.5162929960102319
